STT,Ten file video,Phan doan,Dien tich nut luoi (m2),Dien tich nut don (m2),Tong dien tich nut (m2),Ti le dien tich nut (%),Chi so PCI (0-100),Tinh trang mat duong (ASTM D6433)
1,nhom4.2.mp4,0m - 50m,1.137,0.0,1.137,5.0518,84.84,Satisfactory (Hai long)
2,nhom4.2.mp4,50m - 100m,0.197,0.0,0.197,0.8745,97.38,Good (Tot)
3,nhom4.2.mp4,100m - 150m,0.599,0.0,0.599,2.6615,92.02,Good (Tot)
4,nhom4.2.mp4,150m - 200m,1.681,0.0,1.681,7.4733,77.58,Satisfactory (Hai long)
5,nhom4.2.mp4,200m - 250m,1.18,0.0,1.18,5.2458,84.26,Satisfactory (Hai long)
6,nhom4.2.mp4,250m - 300m,1.212,0.02,1.232,5.4752,83.71,Satisfactory (Hai long)
7,nhom4.2.mp4,300m - 350m,0.785,0.0,0.785,3.4874,89.54,Good (Tot)
8,nhom4.2.mp4,350m - 400m,0.452,0.0,0.452,2.0094,93.97,Good (Tot)
9,nhom4.2.mp4,400m - 450m,0.745,0.0,0.745,3.3119,90.06,Good (Tot)
10,nhom4.2.mp4,450m - 500m,0.957,0.0,0.957,4.2549,87.24,Good (Tot)
11,nhom4.2.mp4,500m - 550m,1.861,0.0,1.861,8.2704,75.19,Satisfactory (Hai long)
12,nhom4.2.mp4,550m - 600m,6.65,0.0,6.65,29.5546,11.34,Serious (Nghiem trong)
13,nhom4.2.mp4,600m - 650m,3.921,0.0,3.921,17.4266,47.72,Poor (Kem)
14,nhom4.2.mp4,650m - 700m,0.174,0.0,0.174,0.7719,97.68,Good (Tot)
15,nhom4.2.mp4,700m - 750m,0.801,0.0,0.801,3.5614,89.32,Good (Tot)
16,nhom4.2.mp4,750m - 800m,1.078,0.0,1.078,4.7917,85.62,Good (Tot)
17,nhom4.2.mp4,800m - 850m,0.365,0.0,0.365,1.6241,95.13,Good (Tot)
18,nhom4.2.mp4,850m - 900m,1.492,0.0,1.492,6.6326,80.1,Satisfactory (Hai long)
19,nhom4.2.mp4,900m - 950m,0.361,0.0,0.361,1.6045,95.19,Good (Tot)
20,nhom4.2.mp4,950m - 1000m,0.385,0.0,0.385,1.7131,94.86,Good (Tot)
