STT,Ten file video,Phan doan,Dien tich nut luoi (m2),Dien tich nut don (m2),Tong dien tich nut (m2),Ti le dien tich nut (%),Chi so PCI (0-100),Tinh trang mat duong (ASTM D6433)
1,nhom 4 .mp4,0m - 50m,0.0,0.008,0.008,0.0366,99.95,Good (Tot)
2,nhom 4 .mp4,50m - 100m,0.022,0.0,0.022,0.0987,99.7,Good (Tot)
3,nhom 4 .mp4,100m - 150m,0.126,0.0,0.126,0.5622,98.31,Good (Tot)
4,nhom 4 .mp4,150m - 200m,0.412,0.018,0.43,1.9115,94.39,Good (Tot)
5,nhom 4 .mp4,200m - 250m,1.301,0.027,1.328,5.9005,82.48,Satisfactory (Hai long)
6,nhom 4 .mp4,250m - 300m,0.754,0.0,0.754,3.3525,89.94,Good (Tot)
7,nhom 4 .mp4,300m - 350m,1.19,0.0,1.19,5.2889,84.13,Satisfactory (Hai long)
8,nhom 4 .mp4,350m - 400m,0.107,0.0,0.107,0.4734,98.58,Good (Tot)
9,nhom 4 .mp4,400m - 450m,0.577,0.0,0.577,2.5655,92.3,Good (Tot)
10,nhom 4 .mp4,450m - 500m,0.152,0.0,0.152,0.6737,97.98,Good (Tot)
11,nhom 4 .mp4,500m - 550m,0.44,0.0,0.44,1.9546,94.14,Good (Tot)
12,nhom 4 .mp4,550m - 600m,0.434,0.0,0.434,1.9306,94.21,Good (Tot)
13,nhom 4 .mp4,600m - 650m,0.569,0.0,0.569,2.5275,92.42,Good (Tot)
14,nhom 4 .mp4,650m - 700m,0.284,0.0,0.284,1.2624,96.21,Good (Tot)
15,nhom 4 .mp4,700m - 750m,0.0,0.0,0.0,0.0,100.0,Good (Tot)
16,nhom 4 .mp4,750m - 800m,0.453,0.0,0.453,2.0125,93.96,Good (Tot)
17,nhom 4 .mp4,800m - 850m,1.087,0.0,1.087,4.8303,85.51,Good (Tot)
18,nhom 4 .mp4,850m - 900m,0.211,0.0,0.211,0.9385,97.18,Good (Tot)
19,nhom 4 .mp4,900m - 950m,0.564,0.0,0.564,2.506,92.48,Good (Tot)
20,nhom 4 .mp4,950m - 1000m,0.454,0.0,0.454,2.0194,93.94,Good (Tot)
21,nhom 7.2.mp4,0m - 50m,0.005,0.0,0.005,0.0228,99.93,Good (Tot)
22,nhom 7.2.mp4,50m - 100m,0.11,0.0,0.11,0.4877,98.54,Good (Tot)
23,nhom 7.2.mp4,100m - 150m,0.005,0.0,0.005,0.0244,99.93,Good (Tot)
24,nhom 7.2.mp4,150m - 200m,0.0,0.0,0.0,0.0,100.0,Good (Tot)
25,nhom 7.2.mp4,200m - 250m,0.036,0.0,0.036,0.1582,99.53,Good (Tot)
26,nhom 7.2.mp4,250m - 300m,0.032,0.0,0.032,0.1405,99.58,Good (Tot)
27,nhom 7.2.mp4,300m - 350m,0.015,0.0,0.015,0.0652,99.8,Good (Tot)
28,nhom 7.2.mp4,350m - 400m,0.0,0.0,0.0,0.0,100.0,Good (Tot)
29,nhom 7.2.mp4,400m - 450m,0.058,0.0,0.058,0.2586,99.22,Good (Tot)
30,nhom 7.2.mp4,450m - 500m,0.065,0.0,0.065,0.289,99.13,Good (Tot)
31,nhom 7.2.mp4,500m - 550m,0.326,0.008,0.334,1.4862,95.6,Good (Tot)
32,nhom 7.2.mp4,550m - 600m,0.016,0.0,0.016,0.0703,99.79,Good (Tot)
33,nhom 7.2.mp4,600m - 650m,0.081,0.0,0.081,0.3593,98.92,Good (Tot)
34,nhom 7.2.mp4,650m - 700m,0.177,0.0,0.177,0.7847,97.65,Good (Tot)
35,nhom 7.2.mp4,700m - 750m,0.0,0.0,0.0,0.0,100.0,Good (Tot)
